frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
1,Oct 18 2022 23:36:18.154452000 ora legale Europa occidentale,62:32:b1:01:b8:c9,ff:ff:ff:ff:ff:ff,,,
2,Oct 18 2022 23:36:18.278256000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,192.168.1.1,17
3,Oct 18 2022 23:36:18.323497000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,,,
4,Oct 18 2022 23:36:18.354445000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,,,
5,Oct 18 2022 23:36:18.357797000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,,,
6,Oct 18 2022 23:36:18.372797000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,94.63.233.188,192.168.1.22,1
7,Oct 18 2022 23:36:18.422324000 ora legale Europa occidentale,98:00:6a:0d:00:a1,a8:7e:ea:82:04:fb,78.36.134.173,192.168.1.22,1
8,Oct 18 2022 23:36:18.461663000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,85.172.91.20,6
9,Oct 18 2022 23:36:18.461664000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,118.47.139.82,6
10,Oct 18 2022 23:36:18.461665000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,91.169.4.196,6
11,Oct 18 2022 23:36:18.461665000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,201.190.254.146,6
12,Oct 18 2022 23:36:18.461709000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,81.39.185.73,6
13,Oct 18 2022 23:36:18.461713000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,46.98.147.108,6
14,Oct 18 2022 23:36:18.461713000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,223.207.245.153,6
15,Oct 18 2022 23:36:18.461751000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,83.7.150.16,6
16,Oct 18 2022 23:36:18.461752000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,46.39.51.149,6
17,Oct 18 2022 23:36:18.461763000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,187.67.140.186,6
18,Oct 18 2022 23:36:18.461782000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,2.211.181.131,6
19,Oct 18 2022 23:36:18.461790000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,82.142.5.224,6
20,Oct 18 2022 23:36:18.461796000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,83.234.213.169,6
21,Oct 18 2022 23:36:18.461911000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,91.169.181.175,6
22,Oct 18 2022 23:36:18.462301000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,139.5.197.147,6
23,Oct 18 2022 23:36:18.462844000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,201.215.54.120,6
24,Oct 18 2022 23:36:18.462883000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,212.96.79.208,6
25,Oct 18 2022 23:36:18.462902000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,81.56.61.34,6
26,Oct 18 2022 23:36:18.462925000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,81.240.171.78,6
27,Oct 18 2022 23:36:18.476802000 ora legale Europa occidentale,a8:7e:ea:82:04:fb,98:00:6a:0d:00:a1,192.168.1.22,85.221.158.70,6
